LexGram	Gloss1	Gloss2	GramCat	VarPron	GramStr	SemF	Syn	Samples	Comm	NSC	Coll	Lang1	Lang2	Date	Rec	Doc	Nbk	Strg	Date added
a bɛ	skin	fruit skin (manɡosteen)	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
a bɛ	skin	skin (of fruit)	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1		Fall 2012
a bɛ	skin	skin of coconut	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
a dɛ	branch	branch	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
a ɡu	coconut	coconut shell	noun			plants,food				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
ɑ ko tʌʔ	stem	manɡosteen fruit stem	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
a la	leaves	leaves of banana tree	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
a wɛ a mo	her mother		phrase	æ wɛ and a wɛ are variable pronunciations for the third person singular pronoun		people			a wɛ a stands for the third person singular possessive; a wɛ is the third person singular pronoun	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
a wɛ a pa	father	her father	phrase	æ wɛ and a wɛ are variable pronunciations for the third person singular pronoun		people			a wɛ a stands for the third person singular possessive; a wɛ is the third person singular pronoun	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
a wɛ pɛ a mo	their (dual) mother		phrase	pɛ and θɛ are in variation		people			pɛ seems to be a plural marker for the third person possessive	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
a wɛ pɛ a mo	their (triple) mother		phrase	pɛ and θɛ are in variation		people			pɛ seems to be a plural marker for the third person possessive	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
a wɛ pɛ a pa	father	their (dual) father	phrase	pɛ and θɛ are in variation		people			pɛ seems to be a plural marker for the third person possessive	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
a wɛ pɛ a pa	father	their (triple) father	phrase	pɛ and θɛ are in variation		people			pɛ seems to be a plural marker for the third person possessive	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
a wɛ θɛ a mo	their (plural) mother		phrase	pɛ and θɛ are in variation		people			pɛ seems to be a plural marker for the third person possessive	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
a wɛ θɛ a pa	father	their (plural) father	phrase	pɛ and θɛ are in variation		people			pɛ seems to be a plural marker for the third person possessive	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
æ wɛ a mo	his mother		phrase	æ wɛ and a wɛ are variable pronunciations for the third person singular pronoun		people			æ wɛ a stands for the third person singular possessive; æ wɛ is the third person singular pronoun	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
da blʉ do ma	thanks	thank you very much	verb							TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
da ɡɛ da ɡɛ	cut	cut into small pieces	verb							TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
da ɡwi a bɛ	skin	skin of banana tree trunk	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
da ɡwi tʰu	tree	trunk of banana tree	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
dʲɛ mo θa	rambutan	rambutan	noun			plants,food				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
dʲɛ mo θa tə plə	rambutan	one rambutan	phrase			plants,food				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
dʲɛ mo θa ʌ bɛ	skin	skin of rambutan	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
do ko θa	flower	banana flower	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
dʌ ɡo	cut	cut (alonɡ short side)	verb							TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
dʌ ɡwi dʌ pʰu	bananas	group of bananas	phrase			plants,food				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
dʌ ɡwi tʰu	tree	banana tree	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
dʌ ɡwi θa a qli	seeds	banana seeds	noun			plants,farming				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
dʌ ɡwi θa ta kɛ	banana	cut banana in half (alonɡ lonɡ side)	phrase			plants,food				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
ə pʰo la	down	down	adposition							ETP	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
ɡo ɾɔ	store	a place to store thinɡs	noun			locations				ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
hɔ læ	leaves	coconut tree leaves	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
hɔ nu tʰi	coconut	coconut milk	noun			plants,food				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
hɔ tʰu	tree	coconut tree	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
hɔ tʰu	tree	trunk of coconut tree	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
hɔ θa tʰi	coconut	coconut water	noun			plants,food				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
hi	home	home	noun			house,locations				ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
je he lə tə plə su po kʰwa pʰo tə ɤæ	I give a rock to a boy	N+V+N+Num+Adp+N+Num	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
je he lʌ su po kʰwa pʰo	I give the rock to the boy	N+V+N+Adp+N	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
je he lʌ tə plə su po kʰwæ pʰo	I give a rock to the boy	N+V+N+Num+Adp+N	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
je he po kʰwa pʰo lʌ lə	I give the boy the rock	N+V+N+N+Num	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
je he po kʰwa pʰo lʌ lə tə plə	I give the boy a rock	N+V+N+N	phrase	ji hi						ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
je he po kʰwa pʰo tə ɤæ lʌ lə tə plə	I give a boy a rock	N+V+N+Num+N+Num	phrase	ji hɪ						ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
ʝə mo	my mother		phrase	ʝə and jə are variable pronunciations for the first person singular possessive		people			ʝə stands for first person singular possessive	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
jə pa	father	my father	phrase	ʝə and jə are variable pronunciations for the first person singular possessive		people			jə stands for first person singular possessive	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
jə pa lɔ li lə sə pwɛ pʰɑ kʰo	I place the book on the table	N+V+N+Adp+N	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
jə pʰa lɔ li tə pɛ lə sə pwɛ pʰɑ kʰo	I place a book on the table	N+V+N+Num+Adp+N	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
jə pʰa lo lə lʌ sʌ pwɛ pʰɑ ko	I place the rock on the table	N+V+N+Adp+N	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
jə tʰi tʰwi tɑ lɘ	I see the dog with the rock	N+V+N+Adp+N	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
jə tʰi tʰwi tɑ lɘ tə plə	I see the dog with a rock	N+V+Adp+N+Num	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
jə ti lə	I see the rock	N+V+N	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
jə ti lə tə plʌ	I see a rock	N+V+N+Num	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
jə ti po kwa po	I see the boy	N+V+N	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
jə ti po kwa po də ɤæ do tʰwi də du	I see a boy with a dog	N+V+N+Num+Adp+N+Num	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
jə ti po kwa po do tʰwi	I see the boy with the dog	N+V+N+Adp+N	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
jə ti po kwa po do tʰwi də du	I see the boy with a dog	N+V+N+Adp+N+Num	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
jə ti po kwa po taɤa	I see a boy	N+V+N+Num	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
jə ti tʰwi	I see the dog	N+V+N	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
jə ti tʰwi də du	I see a dog	N+V+N+Num	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
jɪ tʰi tʰwi tʰɪ ty tɑ lə tə plə	I see a dog with a rock	N+V+N+Num+Adp+N+Num	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
kla po	store	a place you put thinɡs specifically for sellinɡ	noun			locations				ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
lɘ	rock	rock	noun			nature				ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
lə nɛ ba ta so χa ʔo lə po mu pʰo	The rock is carried by the girl	N+?+PassiveMarker?+V+Cop+N	phrase							ETP	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
lə tə plə ʔo lə sə pwe  tə plə ʔo pʰa kɔ	A rock is on a table	N+Num+Cop+Num+Adp+N	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
lə tə plə ʔo lə sə pwe pa kɔ	A rock is on the table	N+Num+Cop+Adp+N	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
lə ʔo lə sə pwe pa ko	The rock is on the table	N+Cop+Adp+N	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
lə θə plə pa ta ʔi θa ʔo lʌ tʰwi	The rock is lifted by the dog	N+Num+PassiveMarker?+V+?+Cop+N	phrase	lə θə plə pa ta ʔi θaw lə tʰwi					May have actually given "A rock is lifted by the girl"	ETP	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
lɛ nɛ pa tʰa so χʷa ʔo lʌ tʰwɪ	The book is carried by the dog	N+PassiveMarker?+V+Cop+N	phrase							TS	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
li lɑ tɛ su ta lu pʰo la	The book rolls down the hill	N+?+V?+N+Adp	phrase							ETP	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
lɪ nɛ ʔo lə ta lu kɔ	The book is on the hill	N+Join+Cop+N+Adp	phrase	lɛ nɛ ʔo lə ta lu kɔ (9m44.827s)						TS	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
lɪ ni ba ta so ti χa ʔo lə po mu pʰo	The book is carried by the girl	N+?++PassiveMarker?+V+Cop+N	phrase							TS	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
li nɪ tʰa pa lɔ ʔɔ lə sə pwɛ pʰɑ kʰo	The book is placed on the table	N+PassiveMarker?+V+Cop+Adp+N	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
lɪ tə bi ʔi pa ta ʔɪ haw lə tʰwɪ	The book is lifted by the dog	N+N+PassiveMarker?+V+Cop+N	phrase	nɪ tə bi ʔi pa ta ʔi θa ʔo lə tʰwi						TS	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
lʌ lɑ tɛ lɛ χʷa  su ta lu pʰo la	The rock rolls down the hill	N+?+V+N+Adp	phrase	lʌ lɑ tɛ lɛ hɔ su ta lu pʰo la (11m21.929s)						TS	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
lʌ nɛ pa ta so χʷa ʔo lʌ tʰwi	The rock is carried by the dog	N+PassiveMarker?+V+Cop+N	phrase							ETP	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
lʌ nɛ ʔo lə ta lu kɔ	The rock is on the hill	N+Join+Cop+N+Adp	phrase							ETP	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
me ̃ɡo a qli	seed	manɡosteen seed	noun			plants,farming				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
me ̃ɡo tʰu	tree	manɡosteen tree	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
meŋɡo θa da du ʔi	manɡosteens	manɡosteens	phrase			food,plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
meŋɡo θa tʌ plʌ	manɡosteen	one manɡosteen	phrase			food,plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
mɛŋɡo	manɡosteen	manɡosteen	noun	meŋɡo θa		food,plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
mo	mother	mother	noun			people				ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
mo tə ɤa	mother		phrase			people			tə ɤa stands for ˈoneˈ	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
mo tə ɤa	mother	one mother	phrase			people			tə ɤa stands for ˈoneˈ	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
nə mo	mother	your (sg) mother	phrase			people			nə stands for second person singular possessive	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
nə pa	father	your (sg) father	phrase			people			nə stands for second person singular possessive	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
pa	father	father	noun			people				ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
pɑ mu pʰɔ so θa li	The girl carries the book	N+V+N	phrase	pɑ mu pʰɔ so ha li						TS	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
pa tə ɤa	father		phrase			people			tə ɤa stands for ˈoneˈ	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
pa tə ɤa	father	one father	phrase			people			tə ɤa stands for ˈoneˈ	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
pɔ mu pʰɔ so hɑ li	The book is lifted by the girl	N+V+N	phrase	pɔ mu pʰɔ so kɑ li						TS	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
pɔ mu pʰɔ so tɑ lə tə pʰlə	The girl lifts a rock	N+V+N+Num	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
pɔ mu pʰɔ so tɑ li	The girl lifts the book	N+V+N+Num	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
pɔ mu pʰɔ so tɑ li tʰə pɛ	The girl lifts a book	N+V+N	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
pɔ mu pʰɔ so tʰɑ lʌ	The rock is lifted by the girl	N+V+N	phrase							ETP	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
pɔ mu pʰɔ so χa lə	The girl carries the rock	N+V+N	phrase	pɔ mu pʰɔ so χʷa lʌ						ETP	AR			9/17/2012	MonSept17of2012Classroom		1		Fall 2012
pɔ mu pʰo lɛ χʷa sʉ ta lu po la	The girl rolls down the hill	N+V+N+Adp	phrase	po mu pʰo lɛ χʷa su ta lu po la (10m26.042s)						TS	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
pɔ mu pʰo so tɑ lə	The girl lifts the rock	N+V+N	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
po mu pʰo nɛ po ʌ ta lu kɔ	The girl is on the hill	N+?+Copula+N+Adp	phrase							ETP	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
po mu po	ɡirl	ɡirl	noun			people				ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
pʌ mo	mother	our (inclusive) mother	phrase			people				ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
pʌ pa	father	our (inclusive) father	phrase			people				ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
pʌ wɛ θɛ pʌ mo	mother	our (exclusive) mother	phrase			people				ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
pʌ wɛ θɛ pʌ pa	father	our (exclusive) father	phrase			people				ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
sɔ no kʰo	table	table	noun			house				ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
ta ɡwi θa a ɲæ	banana	banana fruit	noun			plants,food				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
ta lo	hill	hill	noun			locations,nature				ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
ta lu	hill	hill	noun			locations,nature				ETP	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
ta pɔ ta li lo	store	store ( a place where you store thinɡsˌ either just in ɡeneralˌ or for sellinɡ)	noun			locations				ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
tə ɡwi θa tə plə	banana	one banana	phrase			plants,food				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
tʰwi lɛ lɑ su ta lu pʰɔ la	The dog rolls down the hill	N+V+N+Adp	phrase							ETP	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
tʰwi lɛ ʔɪ tʰja li	The dog lifts the book	N+V+N	phrase	tʰwi lɛ ʔi tʰja li						TS	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
tʰwi nɛ ʔo lʌ ta lu kɔ	The dog is on the hill	N+"Join"+Cop+N+Adp	phrase							TS	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
tʰwi nɪ ʔɛ χʷa li	The dog carries the book	N+V+N	phrase							TS	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
tʰwi nɪ ʔɛ χʷa lʌ	The dog carries the rock	N+V+N	phrase	tʰwi ʔɛ  χʷa lʌ  (7m5.275s)						ETP	AR			9/17/2012	MonSept17of2012Classroom		1	KARENthumbdrive	Fall 2012
tʰwi ʔe tʰɑ lʌ	The dog lifts the rock (with mouth)	N+V+N	phrase							ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
ʌ dɛ	branch	branch	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
ʌ ði	root	root	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
ʌ ʝɛ	husk	husk (scratchy outer coatinɡ of coconut)	noun			food,plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
ʌ læ	leaf	leaf (from manɡosteen tree)	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
ʌ ɲæ	coconut	coconut fruit	noun			plants,food				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
ʌ ɲæ	fruit	fruit of rambutan	noun			plants,food				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
ʌ pɑ	flower	flower	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
ʌ qli	fruit	manɡosteen fruit meat	noun			plants,food				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
ʌ qli	seed	seed of rambutan	noun			plants,farming				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
ʌ ʃu	thorns	rambutan "thorns" ("soft thorns")	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
θa a la	leaf	leaf	noun			plants			θa seems to be shared between ˈfruitˈ and ˈleafˈ	TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
θa blʉɹ	thanks	thank you	phrase							TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
θa ʔa qli	seed	seed	noun			plants,farming				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
θi la	leaf	short leaf	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
θi tʰu	tree	tree	noun			plants				TS	AR			9/10/2012	MonSept10of2012MsTriSaSession2		1	KARENthumbdrive	Fall 2012
θu	hail	hail	noun			nature				ETP	AR			9/17/2012	MonSept17of2012OfficeMrPweeAmyLucia Gunnar		1	KARENthumbdrive	Fall 2012
θʉ mo	mother	your (triple) mother	phrase			people			θʉ stands for the second person plural possessive	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
θʉ pa	father	your (dual) father	phrase			people			θʉ stands for the second person plural possessive	ETP	AR			8/29/2012	Session2ClassroomEhThaPwee		1	KARENthumbdrive	Fall 2012
eʔ θa pwi	Eh Tha Pwee (name)		noun, proper			people				ETP	David Mora Marín			8/27/2012	Class Session 1		1	Computer & 32GB Flashdrive	Fall 2012
ha lə ge	Good evening	Evening + good	phrase	ha lə ɰe or ha lə ʁe						ETP	David Mora Marín			8/27/2012	Class Session 1		1	Computer & 32GB Flashdrive	Fall 2012
jə oʔ su	I am fine/doing well/ok	Response (to how are you?)	phrase							ETP	David Mora Marín			8/27/2012	Class Session 1		1	Computer & 32GB Flashdrive	Fall 2012
ɰo lə ɰe 	Good morning	Morning + good	phrase	go lɛ ʁe or go lɛ ge						ETP	David Mora Marín			8/27/2012	Class Session 1		1	Computer & 32GB Flashdrive	Fall 2012
na lə ɰe 	Good night	Night + good	phrase	na lə ge or na lə ʁe 						ETP	David Mora Marín			8/27/2012	Class Session 1		1	Computer & 32GB Flashdrive	Fall 2012
ni lə ɰe 	Good afternoon	Afternoon + good	phrase	ni lɛ ʁe or ni lɛ ge 						ETP	David Mora Marín			8/27/2012	Class Session 1		1	Computer & 32GB Flashdrive	Fall 2012
oʔ su 	Response (to how are you?)		phrase							ETP	David Mora Marín			8/27/2012	Class Session 1		1	Computer & 32GB Flashdrive	Fall 2012
oʔ sua	Greeting (How are you?)		phrase							ETP	David Mora Marín			8/27/2012	Class Session 1		1	Computer & 32GB Flashdrive	Fall 2012
pɰa aɰa	many persons (people)	person + many	phrase	pwa awa						ETP	David Mora Marín			8/27/2012	Class Session 1		1	Computer & 32GB Flashdrive	Fall 2012
pɰa pomu aɰa	many women	woman + many	phrase	pwa pomu awa		people				ETP	David Mora Marín			8/27/2012	Class Session 1		1	Computer & 32GB Flashdrive	Fall 2012
pokʰwa	man		noun			people	bwa pokʰwa			ETP	David Mora Marín			8/27/2012	Class Session 1		1	Computer & 32GB Flashdrive	Fall 2012
pomu	woman		noun			people	bwa pomu			ETP	David Mora Marín			8/27/2012	Class Session 1		1	Computer & 32GB Flashdrive	Fall 2012
pwa	person		noun	 bwa		people				ETP	David Mora Marín			8/27/2012	Class Session 1		1	Computer & 32GB Flashdrive	Fall 2012
pwa kiɰa	two men	man + two (person marker)	phrase	pwa kiwa						ETP	David Mora Marín			8/27/2012	Class Session 1		1	Computer & 32GB Flashdrive	Fall 2012
pwa kiɰa	two persons (people)	person + two (person marker)	phrase	pwa kiwa						ETP	David Mora Marín			8/27/2012	Class Session 1		1	Computer & 32GB Flashdrive	Fall 2012
